date;montant;description;sub_category_id;financial_flow_id
06/01/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
06/01/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/01/2025;77,36 €;Jo - EDF;Electricité;2
06/01/2025;9,00 €;Jo - SAUR;Eau;2
06/01/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
06/01/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
06/01/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/01/2025;77,36 €;Lu - EDF;Electricité;2
06/01/2025;9,00 €;Lu - SAUR;Eau;2
06/01/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
06/01/2025;300,00 €;Jo - Capital CJ;Capital;2
06/01/2025;305,61 €;Jo - Part MAM;MAM;2
06/01/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
06/01/2025;193,30 €;CAF;CAF - Allocations familiales;2
06/01/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
07/01/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
13/01/2025;300,00 €;Lu - Capital CJ;Capital;2
13/01/2025;1,70 €;SAUR;Remboursement;2
25/01/2025;56,00 €;Lucile;Remboursement;2
25/01/2025;20,00 €;Lucile;Remboursement;2
25/01/2025;13,00 €;Lucile;Remboursement;2
30/01/2025;122,24 €;Lu - Part MAM;MAM;2
05/02/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/02/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/02/2025;77,36 €;Jo - EDF;Electricité;2
05/02/2025;9,00 €;Jo - SAUR;Eau;2
05/02/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/02/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/02/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/02/2025;77,36 €;Lu - EDF;Electricité;2
05/02/2025;9,00 €;Lu - SAUR;Eau;2
05/02/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/02/2025;300,00 €;Jo - Capital CJ;Capital;2
05/02/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/02/2025;96,66 €;CAF;CAF - Allocations familiales;2
05/02/2025;170,41 €;Jo - Part MAM;MAM;2
05/02/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/02/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/02/2025;300,00 €;Lu - Capital CJ;Capital;2
18/02/2025;51,76 €;Leroy Merlin;Remboursement;2
27/02/2025;68,17 €;Lu - Part MAM;MAM;2
05/03/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/03/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/03/2025;68,00 €;Jo - EDF;Electricité;2
05/03/2025;9,00 €;Jo - SAUR;Eau;2
05/03/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/03/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/03/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/03/2025;68,00 €;Lu - EDF;Electricité;2
05/03/2025;9,00 €;Lu - SAUR;Eau;2
05/03/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/03/2025;300,00 €;Jo - Capital CJ;Capital;2
05/03/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/03/2025;96,66 €;CAF;CAF - Allocations familiales;2
05/03/2025;374,46 €;Jo - Part MAM;MAM;2
05/03/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/03/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/03/2025;300,00 €;Lu - Capital CJ;Capital;2
31/03/2025;149,79 €;Lu - Part MAM;MAM;2
04/04/2025;96,66 €;CAF;CAF - Allocations familiales;2
07/04/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
07/04/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
07/04/2025;68,00 €;Jo - EDF;Electricité;2
07/04/2025;9,00 €;Jo - SAUR;Eau;2
07/04/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
07/04/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
07/04/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêthabitation - Assurance;2
07/04/2025;68,00 €;Lu - EDF;Electricité;2
07/04/2025;9,00 €;Lu - SAUR;Eau;2
07/04/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
07/04/2025;300,00 €;Jo - Capital CJ;Capital;2
07/04/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
07/04/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
07/04/2025;469,75 €;Jo - Part MAM;MAM;2
07/04/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/04/2025;15,00 €;Jouet Elly;Remboursement;2
14/04/2025;300,00 €;Lu - Capital CJ;Capital;2
29/04/2025;187,90 €;Lu - Part MAM;MAM;2
05/05/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/05/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/05/2025;68,00 €;Jo - EDF;Electricité;2
05/05/2025;9,00 €;Jo - SAUR;Eau;2
05/05/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/05/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/05/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/05/2025;68,00 €;Lu - EDF;Electricité;2
05/05/2025;9,00 €;Lu - SAUR;Eau;2
05/05/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/05/2025;300,00 €;Jo - Capital CJ;Capital;2
05/05/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/05/2025;98,30 €;CAF;CAF - Allocations familiales;2
05/05/2025;299,37 €;Jo - Part MAM;MAM;2
05/05/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
06/05/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/05/2025;300,00 €;Lu - Capital CJ;Capital;2
27/05/2025;119,75 €;Lu - Part MAM;MAM;2
03/06/2025;300,00 €;Jo - Capital CJ;Capital;2
05/06/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
05/06/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/06/2025;9,00 €;Jo - SAUR;Eau;2
05/06/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/06/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/06/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/06/2025;9,00 €;Lu - SAUR;Eau;2
05/06/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/06/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/06/2025;98,30 €;CAF;CAF - Allocations familiales;2
05/06/2025;375,77 €;Jo - Part MAM;MAM;2
05/06/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
10/06/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
12/06/2025;300,00 €;Lu - Capital CJ;Capital;2
18/06/2025;21,53 €;EDF;Remboursement;2
30/06/2025;150,31 €;Lu - Part MAM;MAM;2
01/07/2025;400,00 €;Lu - Capital CJ;Capital;2
03/07/2025;400,00 €;Jo - Capital CJ;Capital;2
04/07/2025;65,85 €;Jo - EDF;Electricité;2
04/07/2025;98,30 €;CAF;CAF - Allocations familiales;2
07/07/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
07/07/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
07/07/2025;9,00 €;Jo - SAUR;Eau;2
07/07/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
07/07/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
07/07/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
07/07/2025;65,85 €;Lu - EDF;Electricité;2
07/07/2025;9,00 €;Lu - SAUR;Eau;2
07/07/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
07/07/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
07/07/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
07/07/2025;387,20 €;Jo - Part MAM;MAM;2
07/07/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
11/07/2025;15,00 €;Le bon coin - Applique;Capital;2
25/07/2025;154,88 €;Lu - Part MAM;MAM;2
05/08/2025;65,85 €;Jo - EDF;Electricité;2
05/08/2025;9,00 €;Jo - SAUR;Eau;2
05/08/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
05/08/2025;300,00 €;Jo - Capital CJ;Capital;2
05/08/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
05/08/2025;98,30 €;CAF;CAF - Allocations familiales;2
05/08/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/08/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/08/2025;65,85 €;Lu - EDF;Electricité;2
05/08/2025;9,00 €;Lu - SAUR;Eau;2
05/08/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/08/2025;300,00 €;Lu - Capital CJ;Capital;2
06/08/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
06/08/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/08/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
07/08/2025;5,44 €;Lu - PTZ - Assurance;PTZ - Assurance;2
26/08/2025;419,84 €;Jo - Part MAM;MAM;2
27/08/2025;250,00 €;Jo - Capital CJ;Capital;2
28/08/2025;167,95 €;Lu - Part MAM;MAM;2
02/09/2025;65,85 €;Lu - EDF;Electricité;2
02/09/2025;138,79 €;Jo - PTZ (9 993€);PTZ;2
02/09/2025;50,00 €;Jo - Capital CJ;Capital;2
02/09/2025;5,44 €;Jo - PTZ - Assurance;PTZ - Assurance;2
03/09/2025;18,45 €;Huttopia - Remboursement CJ;Remboursement;2
05/09/2025;9,00 €;Jo - SAUR;Eau;2
05/09/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
05/09/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
05/09/2025;9,00 €;Lu - SAUR;Eau;2
05/09/2025;138,79 €;Lu - PTZ (9 993€);PTZ;2
05/09/2025;300,00 €;Lu - Capital CJ;Capital;2
05/09/2025;98,30 €;CAF;CAF - Allocations familiales;2
05/09/2025;65,85 €;Jo - EDF;Electricité;2
08/09/2025;450,00 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
08/09/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
08/09/2025;62,00 €;Jo - Taxe habitation;Taxe foncière;2
12/09/2025;3,79 €;La Fourche;Remboursement;2
27/09/2025;54,63 €;Peugeot 2008;Assurance voiture;2
01/10/2025;54,63 €;Jo - Peugeot 2008;Assurance voiture;2
02/10/2025;432,37 €;Jo - Prêt Habitat (221 647€);Prêt habitation;2
02/10/2025;48,42 €;Jo - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
02/10/2025;131,70 €;Jo - EDF;Electricité;2
02/10/2025;14,00 €;Jo - SAUR;Eau;2
02/10/2025;300,00 €;Jo - Capital CJ;Capital;2
02/10/2025;25,00 €;Jo - Taxe habitation;Taxe foncière;2
06/10/2025;432,37 €;Lu - Prêt Habitat (221 647€);Prêt habitation;2
06/10/2025;16,00 €;Lu - Prêt Habitat - Assurance (221 647€);Prêt habitation - Assurance;2
06/10/2025;300,00 €;Lu - Capital CJ;Capital;2
06/10/2025;98,30 €;CAF;CAF - Allocations familiales;2
01/01/2025;29,57 €;Peugeot 2008;Carburant;2
03/01/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
03/01/2025;11,00 €;McDo;Restaurant/brasserie;2
04/01/2025;21,60 €;Boulangerie;Alimentation;2
04/01/2025;69,09 €;Biocoop;Alimentation;2
04/01/2025;31,97 €;Leclerc Drive;Alimentation;2
05/01/2025;13,60 €;Boulangerie;Alimentation;2
06/01/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
07/01/2025;6,98 €;Elly - Top Assmat;MAM;2
09/01/2025;40,04 €;Biocoop;Alimentation;2
09/01/2025;14,00 €;Lavage Polo;Auto;2
10/01/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/01/2025;277,58 €;PTZ (9 993€);PTZ;2
11/01/2025;180,06 €;Leroy Merlin;Bricolage;2
11/01/2025;11,80 €;Boulangerie ;Alimentation;2
12/01/2025;102,64 €;Luminaires Cousin Paul;Aménagement;2
12/01/2025;31,46 €;Peugeot 2008;Carburant;2
13/01/2025;97,49 €;Leclerc;Alimentation;2
15/01/2025;4,70 €;Boulangerie ;Alimentation;2
16/01/2025;62,00 €;L'Augerie;Taxe foncière;2
16/01/2025;58,00 €;Leroy Merlin;Bricolage;2
16/01/2025;150,00 €;Clôture potager;Aménagement;2
17/01/2025;27,50 €;Restaurant - MAD;Restaurant/brasserie;2
17/01/2025;50,56 €;Biocoop;Alimentation;2
18/01/2025;30,06 €;Polo;Carburant;2
20/01/2025;3,59 €;Elly - Bonnet;Courses;2
22/01/2025;15,91 €;Leroy Merlin;Bricolage;2
22/01/2025;20,27 €;Pharmacie;Courses;2
24/01/2025;25,27 €;Peugeot 2008;Carburant;2
24/01/2025;56,52 €;Olio & Burro;Restaurant/brasserie;2
24/01/2025;1,07 €;Leroy Merlin;Bricolage;2
25/01/2025;13,00 €;Cadeau Calou;Courses;2
27/01/2025;154,72 €;EDF;Électricité;2
28/01/2025;25,47 €;Polo;Carburant;2
28/01/2025;18,50 €;Carte bancaire;Frais bancaires;2
29/01/2025;29,66 €;Biocoop ;Alimentation;2
29/01/2025;29,92 €;Peugeot 2008;Carburant;2
30/01/2025;2,30 €;Boulangerie;Alimentation;2
30/01/2025;2,10 €;Boulangerie;Alimentation;2
31/01/2025;427,85 €;Elly - MAM;MAM;2
04/02/2025;10,88 €;PTZ - Assurance (9 993€) ;PTZ - Assurance;2
04/02/2025;1,35 €;Boulangerie;Alimentation;2
05/02/2025;64,42 €;Prêt Habitat - Assurance (221 647€);Prêt Habitation - Assurance;2
05/02/2025;4,65 €;Beurre;Alimentation;2
06/02/2025;18,80 €;Lait Elly;Alimentation;2
07/02/2025;6,98 €;Elly - Top Assmat;MAM;2
08/02/2025;24,72 €;Peugeot 2008;Carburant;2
10/02/2025;14,00 €;Atlantic'Eau ;Eau;2
10/02/2025;864,74 €;Prêt Habitat (221 647€);Prêt habitation;2
10/02/2025;277,58 €;PTZ (9 993€);PTZ;2
10/02/2025;45,94 €;Deuxième versement - Amidal;Alimentation;2
12/02/2025;54,57 €;Graines potager;Courses;2
